,epoch,loss,test_loss,train_acc,test_acc
0,0,2.293832778930664,2.288083791732788,0.12120000272989273,0.15039999783039093
1,1,2.2657995223999023,2.2354648113250732,0.15139999985694885,0.13510000705718994
2,2,2.1821703910827637,2.161431312561035,0.20499999821186066,0.18199999630451202
3,3,2.1119933128356934,2.5083374977111816,0.22259999811649323,0.10819999873638153
4,4,2.0515527725219727,2.4537994861602783,0.2563999891281128,0.1534000039100647
5,5,2.004746675491333,1.9288957118988037,0.26499998569488525,0.31290000677108765
6,6,1.9458714723587036,2.443082809448242,0.28999999165534973,0.18459999561309814
7,7,1.9175814390182495,2.128743886947632,0.30300000309944153,0.2206999957561493
8,8,1.8430523872375488,1.9174542427062988,0.33399999141693115,0.2833000123500824
9,9,1.8056836128234863,3.0400917530059814,0.3393999934196472,0.15469999611377716
10,10,1.755388617515564,1.916301965713501,0.37119999527931213,0.29899999499320984
11,11,1.7115380764007568,2.9041502475738525,0.38019999861717224,0.15070000290870667
12,12,1.6743136644363403,1.7225134372711182,0.39739999175071716,0.3650999963283539
13,13,1.6114835739135742,2.913058280944824,0.4180000126361847,0.14030000567436218
14,14,1.5715967416763306,1.7761356830596924,0.43160000443458557,0.3686000108718872
15,15,1.542052149772644,2.301499128341675,0.43799999356269836,0.27320000529289246
16,16,1.4895418882369995,1.9133654832839966,0.4668000042438507,0.314300000667572
17,17,1.4687262773513794,1.8509310483932495,0.46299999952316284,0.35260000824928284
18,18,1.4269737005233765,1.623290777206421,0.4903999865055084,0.4120999872684479
19,19,1.3957151174545288,1.8123091459274292,0.5027999877929688,0.3652999997138977
20,20,1.3664309978485107,2.1439990997314453,0.5045999884605408,0.3206999897956848
21,21,1.3286000490188599,2.6374073028564453,0.522599995136261,0.2865999937057495
22,22,1.3264816999435425,2.381168842315674,0.5329999923706055,0.3190999925136566
23,23,1.2676329612731934,1.6270089149475098,0.5473999977111816,0.4244000017642975
24,24,1.2099244594573975,2.2761714458465576,0.5685999989509583,0.2896000146865845
25,25,1.1931730508804321,1.908339262008667,0.5741999745368958,0.3659999966621399
26,26,1.1500744819641113,1.6464760303497314,0.5879999995231628,0.4309999942779541
27,27,1.1218864917755127,1.877458930015564,0.5942000150680542,0.3817000091075897
28,28,1.0781499147415161,1.7204501628875732,0.6122000217437744,0.4187999963760376
29,29,1.0265469551086426,2.037010431289673,0.6377999782562256,0.358599990606308
