,epoch,loss,test_loss,train_acc,test_acc
0,0,2.294769048690796,2.2850472927093506,0.12600000202655792,0.17569999396800995
1,1,2.2611794471740723,2.2255215644836426,0.17919999361038208,0.1565999984741211
2,2,2.170914888381958,2.5178489685058594,0.21279999613761902,0.11739999800920486
3,3,2.077544689178467,2.0319838523864746,0.23659999668598175,0.23960000276565552
4,4,2.0116121768951416,1.9825851917266846,0.2680000066757202,0.26109999418258667
5,5,1.9668755531311035,2.1465766429901123,0.28760001063346863,0.1988999992609024
6,6,1.9363600015640259,1.9089876413345337,0.305400013923645,0.3221000134944916
7,7,1.8956804275512695,2.060520648956299,0.3248000144958496,0.23280000686645508
8,8,1.8409396409988403,1.913129448890686,0.34860000014305115,0.32170000672340393
9,9,1.7931715250015259,1.8459011316299438,0.35260000824928284,0.3100999891757965
10,10,1.7305927276611328,2.0042219161987305,0.38760000467300415,0.2517000138759613
11,11,1.6902111768722534,1.8469451665878296,0.3935999870300293,0.3398999869823456
12,12,1.6565355062484741,2.2041714191436768,0.40639999508857727,0.26260000467300415
13,13,1.602793574333191,1.8101472854614258,0.4284000098705292,0.3619000017642975
14,14,1.5643669366836548,2.1247918605804443,0.4449999928474426,0.29280000925064087
15,15,1.538864016532898,1.658490777015686,0.4578000009059906,0.40049999952316284
16,16,1.4845504760742188,2.544386625289917,0.4733999967575073,0.22259999811649323
17,17,1.4632370471954346,2.0345137119293213,0.4848000109195709,0.3165999948978424
18,18,1.4226481914520264,2.0724687576293945,0.49959999322891235,0.2992999851703644
19,19,1.399221658706665,1.9875959157943726,0.5040000081062317,0.3276999890804291
20,20,1.3625211715698242,1.8842462301254272,0.5228000283241272,0.33559998869895935
21,21,1.3363394737243652,1.5637238025665283,0.5315999984741211,0.4496999979019165
22,22,1.2949182987213135,1.8941025733947754,0.5393999814987183,0.3889000117778778
23,23,1.2653521299362183,1.6911085844039917,0.5547999739646912,0.42669999599456787
24,24,1.2325153350830078,1.957167148590088,0.5666000247001648,0.3603000044822693
25,25,1.2061424255371094,2.491549253463745,0.578000009059906,0.29580000042915344
26,26,1.1718721389770508,3.01444149017334,0.5849999785423279,0.23639999330043793
27,27,1.145754337310791,1.8707764148712158,0.5992000102996826,0.375
28,28,1.093146800994873,1.772759199142456,0.621999979019165,0.4203999936580658
29,29,1.0555775165557861,2.446539878845215,0.6230000257492065,0.27000001072883606
