,epoch,train_loss,test_loss,train_acc,test_acc
0,0,2.03413724899292,1.8033298254013062,0.26019999384880066,0.365200012922287
1,1,1.5973962545394897,1.8800976276397705,0.42570000886917114,0.35659998655319214
2,2,1.404528021812439,1.47645902633667,0.4973199963569641,0.47360000014305115
3,3,1.2818646430969238,1.342595100402832,0.5442799925804138,0.5149000287055969
4,4,1.175540804862976,1.1853770017623901,0.584119975566864,0.578499972820282
5,5,1.077364206314087,1.4230692386627197,0.618399977684021,0.5138999819755554
6,6,0.9881106019020081,1.0454106330871582,0.6524999737739563,0.632099986076355
7,7,0.9107818603515625,1.4115170240402222,0.6819800138473511,0.5353999733924866
8,8,0.8448244333267212,1.3647030591964722,0.7040600180625916,0.5425000190734863
9,9,0.7800596952438354,1.0223958492279053,0.7286400198936462,0.6406999826431274
10,10,0.7216452956199646,1.0228675603866577,0.7473599910736084,0.6538000106811523
11,11,0.6669220328330994,1.0680603981018066,0.7659400105476379,0.6416000127792358
12,12,0.6126546859741211,0.9590544700622559,0.7846199870109558,0.6741999983787537
13,13,0.5676084160804749,1.0178468227386475,0.8021399974822998,0.6725000143051147
14,14,0.5180076360702515,1.1515082120895386,0.8184400200843811,0.6406999826431274
15,15,0.4683150053024292,1.2722501754760742,0.8371800184249878,0.6319000124931335
16,16,0.42649582028388977,1.2836500406265259,0.8503999710083008,0.6230999827384949
17,17,0.3824043869972229,1.1146953105926514,0.866100013256073,0.6865000128746033
18,18,0.3332783281803131,1.111223578453064,0.8837000131607056,0.6894999742507935
19,19,0.3022170662879944,1.3251824378967285,0.8948799967765808,0.6611999869346619
20,20,0.2646442651748657,1.1562347412109375,0.9077000021934509,0.6873000264167786
21,21,0.23265022039413452,1.702610969543457,0.9169600009918213,0.6263999938964844
22,22,0.20460692048072815,1.464301586151123,0.9279599785804749,0.6632000207901001
23,23,0.17073549330234528,1.670715570449829,0.9400200247764587,0.6680999994277954
24,24,0.1555010825395584,1.3576470613479614,0.9450799822807312,0.6995000243186951
25,25,0.1308012157678604,1.8678452968597412,0.9549400210380554,0.6567999720573425
26,26,0.11927197873592377,1.8078689575195312,0.9590399861335754,0.6509000062942505
27,27,0.09914365410804749,1.6506544351577759,0.965179979801178,0.6873999834060669
28,28,0.0854993388056755,2.0852434635162354,0.9713799953460693,0.6674000024795532
29,29,0.09441044181585312,1.7226835489273071,0.968559980392456,0.6952999830245972
