,epoch,loss,test_loss,train_acc,test_acc
0,0,2.2959377765655518,2.285743474960327,0.12860000133514404,0.13729999959468842
1,1,2.2629616260528564,2.2154288291931152,0.16660000383853912,0.20919999480247498
2,2,2.1833534240722656,2.2407116889953613,0.19280000030994415,0.14980000257492065
3,3,2.099684953689575,3.0190606117248535,0.22460000216960907,0.11180000007152557
4,4,2.0672447681427,2.202291965484619,0.24040000140666962,0.21410000324249268
5,5,2.0119478702545166,2.246250867843628,0.2540000081062317,0.20499999821186066
6,6,1.9616109132766724,1.939369559288025,0.2809999883174896,0.28690001368522644
7,7,1.938312292098999,2.105149030685425,0.2996000051498413,0.24140000343322754
8,8,1.8824816942214966,2.395408868789673,0.31940001249313354,0.19869999587535858
9,9,1.8500034809112549,2.4587247371673584,0.34200000762939453,0.17630000412464142
10,10,1.7822619676589966,1.9180861711502075,0.3619999885559082,0.2994999885559082
11,11,1.7394179105758667,1.9386357069015503,0.38280001282691956,0.2904999852180481
12,12,1.6849157810211182,1.946371078491211,0.4020000100135803,0.3393000066280365
13,13,1.6448472738265991,1.907224178314209,0.4074000120162964,0.3100999891757965
14,14,1.6132807731628418,2.1483566761016846,0.4235999882221222,0.28279998898506165
15,15,1.574840784072876,2.0139670372009277,0.4320000112056732,0.298799991607666
16,16,1.5365943908691406,2.646070957183838,0.4442000091075897,0.26499998569488525
17,17,1.5118439197540283,1.6324445009231567,0.46320000290870667,0.4169999957084656
18,18,1.4652705192565918,2.222179412841797,0.4740000069141388,0.26910001039505005
19,19,1.4370206594467163,1.6487113237380981,0.47600001096725464,0.41620001196861267
20,20,1.4014126062393188,1.9449634552001953,0.49380001425743103,0.3328999876976013
21,21,1.3835668563842773,2.0702922344207764,0.5059999823570251,0.3440999984741211
22,22,1.357804536819458,3.19411563873291,0.5152000188827515,0.18979999423027039
23,23,1.3484216928482056,2.2878611087799072,0.5270000100135803,0.33480000495910645
24,24,1.2858827114105225,2.0381827354431152,0.5491999983787537,0.3458000123500824
25,25,1.2403173446655273,1.6279224157333374,0.5523999929428101,0.43619999289512634
26,26,1.2312852144241333,1.7853456735610962,0.5636000037193298,0.4083999991416931
27,27,1.1805062294006348,3.189056396484375,0.5774000287055969,0.23029999434947968
28,28,1.1960930824279785,1.7069847583770752,0.5767999887466431,0.41670000553131104
29,29,1.1175063848495483,1.8875812292099,0.6064000129699707,0.3939000070095062
